Type of Plot,Plot Number,Location Type,Location Number,Measurement Category,Value
Control ,6,Platform,3,Small PW <10,0
Control ,6,Platform,3,Big PW >10,0
Control ,6,Platform,3,Other sp.,0
Control ,6,Platform,3,% cover,0
Control ,7,Bank,1,Small PW <10,0
Control ,7,Bank,1,Big PW >10,7
Control ,7,Bank,1,Other sp.,0
Control ,7,Bank,1,% cover,30
Control ,7,Bank,2,Small PW <10,0
Control ,7,Bank,2,Big PW >10,5
Control ,7,Bank,2,Other sp.,0
Control ,7,Bank,2,% cover,10
Control ,7,Bank,3,Small PW <10,0
Control ,7,Bank,3,Big PW >10,13
Control ,7,Bank,3,Other sp.,0
Control ,7,Bank,3,% cover,40
Control ,7,Platform,1,Small PW <10,0
Control ,7,Platform,1,Big PW >10,0
Control ,7,Platform,1,Other sp.,0
Control ,7,Platform,1,% cover,0
Control ,7,Platform,2,Small PW <10,0
Control ,7,Platform,2,Big PW >10,0
Control ,7,Platform,2,Other sp.,0
Control ,7,Platform,2,% cover,0
Control ,7,Platform,3,Small PW <10,0
Control ,7,Platform,3,Big PW >10,6
Control ,7,Platform,3,Other sp.,0
Control ,7,Platform,3,% cover,20
Control ,8,Bank,1,Small PW <10,0
Control ,8,Bank,1,Big PW >10,2
Control ,8,Bank,1,Other sp.,0
Control ,8,Bank,1,% cover,10
Control ,8,Bank,2,Small PW <10,0
Control ,8,Bank,2,Big PW >10,0
Control ,8,Bank,2,Other sp.,0
Control ,8,Bank,2,% cover,1
Control ,8,Bank,3,Small PW <10,0
Control ,8,Bank,3,Big PW >10,0
Control ,8,Bank,3,Other sp.,0
Control ,8,Bank,3,% cover,5
Control ,8,Platform,1,Small PW <10,0
Control ,8,Platform,1,Big PW >10,0
Control ,8,Platform,1,Other sp.,0
Control ,8,Platform,1,% cover,0
Control ,8,Platform,2,Small PW <10,0
Control ,8,Platform,2,Big PW >10,0
Control ,8,Platform,2,Other sp.,0
Control ,8,Platform,2,% cover,0
Control ,8,Platform,3,Small PW <10,0
Control ,8,Platform,3,Big PW >10,2
Control ,8,Platform,3,Other sp.,0
Control ,8,Platform,3,% cover,5
Control ,9,Bank,1,Small PW <10,0
Control ,9,Bank,1,Big PW >10,1
Control ,9,Bank,1,Other sp.,0
Control ,9,Bank,1,% cover,5
Control ,9,Bank,2,Small PW <10,0
Control ,9,Bank,2,Big PW >10,0
Control ,9,Bank,2,Other sp.,0
Control ,9,Bank,2,% cover,0
Control ,9,Bank,3,Small PW <10,0
Control ,9,Bank,3,Big PW >10,0
Control ,9,Bank,3,Other sp.,0
Control ,9,Bank,3,% cover,2
Control ,9,Platform,1,Small PW <10,0
Control ,9,Platform,1,Big PW >10,0
Control ,9,Platform,1,Other sp.,0
Control ,9,Platform,1,% cover,0
Control ,9,Platform,2,Small PW <10,0
Control ,9,Platform,2,Big PW >10,0
Control ,9,Platform,2,Other sp.,0
Control ,9,Platform,2,% cover,0
Control ,9,Platform,3,Small PW <10,0
Control ,9,Platform,3,Big PW >10,0
Control ,9,Platform,3,Other sp.,0
Control ,9,Platform,3,% cover,0
Control ,10,Bank,1,Small PW <10,0
Control ,10,Bank,1,Big PW >10,7
Control ,10,Bank,1,Other sp.,0
Control ,10,Bank,1,% cover,50
Control ,10,Bank,2,Small PW <10,0
Control ,10,Bank,2,Big PW >10,2
Control ,10,Bank,2,Other sp.,0
Control ,10,Bank,2,% cover,3
Control ,10,Bank,3,Small PW <10,0
Control ,10,Bank,3,Big PW >10,4
Control ,10,Bank,3,Other sp.,0
Control ,10,Bank,3,% cover,7
Control ,10,Platform,1,Small PW <10,0
Control ,10,Platform,1,Big PW >10,0
Control ,10,Platform,1,Other sp.,0
Control ,10,Platform,1,% cover,0
Control ,10,Platform,2,Small PW <10,2
Control ,10,Platform,2,Big PW >10,0
Control ,10,Platform,2,Other sp.,0
Control ,10,Platform,2,% cover,1
Control ,10,Platform,3,Small PW <10,0
Control ,10,Platform,3,Big PW >10,0
Control ,10,Platform,3,Other sp.,0
Control ,10,Platform,3,% cover,0
