Soak Time,Soak Temp,Salinity Soak,Soil Type,5.7,5.8,5.9,5.1,5.11,5.12,5.13,5.14,5.15,5.16,5.17,5.18,5.19,5.2,5.21
1 day,12 C,Freshwater,Hester Mimic,0,0,3,4,14,14,0,0,0,0,0,0,0,0,0
1 day,12 C,Freshwater,Hester Mimic,0,0,2,6,14,15,3,0,0,0,0,2,2,2,1
1 day,12 C,Freshwater,Hester Mimic,0,0,3,5,15,15,9,12,12,8,12,14,14,14,6
1 day,12 C,Freshwater,Hester Mimic,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1 day,12 C,Freshwater,Hester Mimic,0,0,0,1,2,2,1,1,1,0,0,1,1,1,0
1 day,12 C,Freshwater,Hester Mimic,0,0,5,5,13,13,3,3,3,3,3,4,4,4,2
1 day,12 C,15ppt,Hester Mimic,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0
1 day,12 C,15ppt,Hester Mimic,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0
1 day,12 C,15ppt,Hester Mimic,0,0,0,0,2,2,0,1,1,0,0,2,2,2,1
1 day,12 C,15ppt,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 day,12 C,15ppt,Hester Mimic,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0
1 day,12 C,15ppt,Hester Mimic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1 day,12 C,30ppt,Hester Mimic,0,0,0,1,4,4,0,0,0,0,0,1,1,0,0
1 day,12 C,30ppt,Hester Mimic,0,0,0,1,2,3,1,0,0,0,0,1,1,1,0
1 day,12 C,30ppt,Hester Mimic,0,0,0,2,6,6,8,9,7,7,8,10,10,10,8
1 day,12 C,30ppt,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 day,12 C,30ppt,Hester Mimic,0,0,1,1,1,2,1,1,1,1,0,3,3,3,2
1 day,12 C,30ppt,Hester Mimic,0,0,0,1,4,5,1,0,0,0,0,1,1,1,1
7 days,12 C,Freshwater,Hester Mimic,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
7 days,12 C,Freshwater,Hester Mimic,0,0,29,30,38,40,32,27,15,5,0,0,0,0,0
7 days,12 C,Freshwater,Hester Mimic,0,0,0,1,10,11,10,9,6,3,7,7,7,7,7
7 days,12 C,Freshwater,Hester Mimic,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
7 days,12 C,Freshwater,Hester Mimic,0,0,0,12,7,7,0,0,0,0,0,0,0,0,0
7 days,12 C,Freshwater,Hester Mimic,0,0,2,10,10,10,7,2,1,1,2,2,2,2,1
7 days,12 C,15ppt,Hester Mimic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7 days,12 C,15ppt,Hester Mimic,0,0,1,1,2,2,3,1,0,0,0,0,0,0,0
7 days,12 C,15ppt,Hester Mimic,0,0,0,1,2,2,1,0,0,0,0,0,0,1,1
7 days,12 C,15ppt,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 days,12 C,15ppt,Hester Mimic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7 days,12 C,15ppt,Hester Mimic,0,0,2,5,8,10,6,0,0,0,0,0,0,0,0
7 days,12 C,30ppt,Hester Mimic,0,0,0,3,2,4,0,0,0,0,0,0,0,0,0
7 days,12 C,30ppt,Hester Mimic,0,0,4,11,12,17,7,5,4,1,1,1,1,1,3
7 days,12 C,30ppt,Hester Mimic,0,0,0,0,1,1,2,2,1,1,2,2,2,2,2
7 days,12 C,30ppt,Hester Mimic,0,0,0,0,0,1,1,0,0,0,0,1,1,2,2
7 days,12 C,30ppt,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 days,12 C,30ppt,Hester Mimic,0,0,0,2,5,9,4,1,1,0,0,1,1,0,0
3hr,20 C,Freshwater,Hester Mimic,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3hr,20 C,Freshwater,Hester Mimic,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
3hr,20 C,Freshwater,Hester Mimic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3hr,20 C,Freshwater,Hester Mimic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3hr,20 C,Freshwater,Hester Mimic,0,0,0,2,6,6,5,2,2,0,0,1,1,0,0
3hr,20 C,Freshwater,Hester Mimic,0,0,0,3,9,9,1,0,0,0,0,0,0,0,0
3hr,20 C,15ppt,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3hr,20 C,15ppt,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3hr,20 C,15ppt,Hester Mimic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3hr,20 C,15ppt,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3hr,20 C,15ppt,Hester Mimic,0,0,0,0,6,6,5,4,4,7,7,9,9,9,9
3hr,20 C,15ppt,Hester Mimic,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0
3hr,20 C,30ppt,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3hr,20 C,30ppt,Hester Mimic,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1
3hr,20 C,30ppt,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3hr,20 C,30ppt,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3hr,20 C,30ppt,Hester Mimic,0,0,1,2,8,10,7,9,14,15,17,18,18,18,18
3hr,20 C,30ppt,Hester Mimic,0,0,0,0,5,8,1,1,1,1,1,2,2,1,1
1 day,20 C,Freshwater,Hester Mimic,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1 day,20 C,Freshwater,Hester Mimic,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0
1 day,20 C,Freshwater,Hester Mimic,0,0,0,2,7,8,0,0,0,0,0,0,0,0,0
1 day,20 C,Freshwater,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 day,20 C,Freshwater,Hester Mimic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1 day,20 C,Freshwater,Hester Mimic,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0
1 day,20 C,15ppt,Hester Mimic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1 day,20 C,15ppt,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 day,20 C,15ppt,Hester Mimic,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1 day,20 C,15ppt,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 day,20 C,15ppt,Hester Mimic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1 day,20 C,15ppt,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 day,20 C,30ppt,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 day,20 C,30ppt,Hester Mimic,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
1 day,20 C,30ppt,Hester Mimic,0,0,0,1,3,4,2,1,1,1,1,1,1,1,1
1 day,20 C,30ppt,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 day,20 C,30ppt,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 day,20 C,30ppt,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 days,20 C,Freshwater,Hester Mimic,0,0,2,4,4,4,0,0,0,0,0,0,0,0,0
7 days,20 C,Freshwater,Hester Mimic,0,0,4,14,20,20,3,0,0,0,0,0,0,0,0
7 days,20 C,Freshwater,Hester Mimic,0,0,2,8,13,13,3,3,0,0,0,0,0,0,0
7 days,20 C,Freshwater,Hester Mimic,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0
7 days,20 C,Freshwater,Hester Mimic,0,0,3,6,19,19,6,5,1,0,0,0,0,0,0
7 days,20 C,Freshwater,Hester Mimic,0,0,2,4,3,6,1,0,0,0,0,0,0,0,0
7 days,20 C,15ppt,Hester Mimic,0,0,3,5,2,2,0,0,0,0,0,0,0,0,0
7 days,20 C,15ppt,Hester Mimic,0,0,1,6,7,8,1,0,0,0,0,0,0,0,0
7 days,20 C,15ppt,Hester Mimic,0,0,1,3,2,5,0,0,0,0,0,1,1,1,1
7 days,20 C,15ppt,Hester Mimic,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
7 days,20 C,15ppt,Hester Mimic,0,0,2,1,3,3,0,0,0,0,0,0,0,0,0
7 days,20 C,15ppt,Hester Mimic,0,0,1,4,11,11,1,0,0,0,0,0,0,0,0
7 days,20 C,30ppt,Hester Mimic,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
7 days,20 C,30ppt,Hester Mimic,0,0,2,7,9,9,1,0,0,0,0,0,0,0,0
7 days,20 C,30ppt,Hester Mimic,0,0,0,6,10,10,2,1,0,0,0,1,1,1,1
7 days,20 C,30ppt,Hester Mimic,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0
7 days,20 C,30ppt,Hester Mimic,0,0,6,17,22,26,9,6,0,0,0,0,0,0,0
7 days,20 C,30ppt,Hester Mimic,0,0,1,11,16,23,7,4,0,0,0,0,0,0,0
Control,Control,Control,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,Control,Control,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,Control,Control,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,Control,Control,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,Control,Control,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,Control,Control,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
