ID Number,Tray #,Soak Time,Soak Temp,Salinity Soak,Soil Type,1,2,3,4,4.5,4.55,5,5.5,5.55,6,6.5,6.55,7,7.5,7.55,8,8.5,8.55,9,9.5,9.55,10,10.5,10.55,11,11.5,11.55,12,12.5,12.55,13,13.5,13.55,14,14.5,14.55,15,15.5,15.55
120,RR,3hr,12 C,Freshwater,Hester Mimic,0,0,2,3,1,1,2,-1,0,2,0,0,2,0,0,1,-1,0,0,-1,0,0,0,0,0,0,0,4,4,4,4,0,0,4,0,0,3,-1,0
121,MM,3hr,12 C,15ppt,Hester Mimic,0,0,1,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,NN,3hr,12 C,15ppt,Hester Mimic,0,0,0,3,3,3,6,3,3,6,0,0,3,-3,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,OO,3hr,12 C,15ppt,Hester Mimic,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,PP,3hr,12 C,15ppt,Hester Mimic,0,0,0,2,2,2,6,4,4,6,0,0,2,-4,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0
125,QQ,3hr,12 C,15ppt,Hester Mimic,0,0,1,3,2,2,7,4,4,7,0,0,2,-5,0,0,-2,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,0,0,2,-1,0
126,RR,3hr,12 C,15ppt,Hester Mimic,0,0,1,1,0,0,2,1,1,3,1,1,1,-2,0,0,-1,0,0,0,0,1,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
127,MM,3hr,12 C,30ppt,Hester Mimic,0,0,0,3,3,3,2,-1,0,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,NN,3hr,12 C,30ppt,Hester Mimic,0,0,0,2,2,2,4,2,2,4,0,0,1,-3,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,OO,3hr,12 C,30ppt,Hester Mimic,0,0,0,1,1,1,1,0,0,2,1,1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
