TagID,Soil.Type,TidalCat,SiteID,Date,Survivors,Tallest[mm],Date,Survivors,Tallest[mm],Date,Survivors,Tallest[mm]
129,Potting Soil,Natural,Natural 5,6/12/2024,5,6,7/22/2024,5,8,8/21/2025,5,5
130,Potting Soil,Natural,Natural 5,6/12/2024,5,4,7/22/2024,5,4,8/21/2025,4,3
131,Potting Soil,Natural,Natural 5,6/12/2024,5,6,7/22/2024,5,6,8/21/2025,5,5
132,Potting Soil,Natural,Natural 5,6/12/2024,4,4,7/22/2024,1,3,8/21/2025,3,2
133,Combo,Natural,Natural 5,6/12/2024,5,3,7/22/2024,5,7,8/21/2025,5,4
134,Combo,Natural,Natural 5,6/12/2024,5,4,7/22/2024,4,6,8/21/2025,4,7
135,Combo,Natural,Natural 5,6/12/2024,5,3,7/22/2024,3,3,8/21/2025,3,2
136,Combo,Natural,Natural 5,6/12/2024,5,6,7/22/2024,5,8,8/21/2025,1,12
137,Combo,Natural,Natural 5,6/12/2024,5,5,7/22/2024,5,6,8/21/2025,2,4
138,Combo,Natural,Natural 5,6/12/2024,5,5,7/22/2024,5,13,8/21/2025,0,0
139,Hester,Natural,Natural 5,6/12/2024,5,5,7/22/2024,5,5,8/21/2025,0,0
140,Hester,Natural,Natural 5,6/12/2024,5,7,7/22/2024,2,9,8/21/2025,0,0
141,Hester,Natural,Natural 5,6/12/2024,5,7,7/22/2024,4,15,8/21/2025,4,15
142,Hester,Natural,Natural 5,6/12/2024,5,13,7/22/2024,5,26,8/21/2025,4,25
143,Hester,Natural,Natural 5,6/12/2024,5,8,7/22/2024,5,25,8/21/2025,3,34
144,Hester,Natural,Natural 5,6/12/2024,5,7,7/22/2024,5,13,8/21/2025,3,3
145,Potting Soil,Natural,Natural 3,6/12/2024,5,5,7/22/2024,5,5,8/21/2025,3,2
146,Potting Soil,Natural,Natural 3,6/12/2024,5,3,7/22/2024,4,3,8/21/2025,3,2
147,Potting Soil,Natural,Natural 3,6/12/2024,4,2,7/22/2024,2,2,8/21/2025,1,2
148,Potting Soil,Natural,Natural 3,6/12/2024,5,4,7/22/2024,5,4,8/21/2025,3,3
149,Potting Soil,Natural,Natural 3,6/12/2024,4,4,7/22/2024,2,3,8/21/2025,2,2
150,Potting Soil,Natural,Natural 3,6/12/2024,5,2,7/22/2024,3,3,8/21/2025,2,1
151,Combo,Natural,Natural 3,6/12/2024,5,4,7/22/2024,5,4,8/21/2025,0,0
152,Combo,Natural,Natural 3,6/12/2024,5,3,7/22/2024,5,5,8/21/2025,2,3
153,Combo,Natural,Natural 3,6/12/2024,5,4,7/22/2024,5,7,8/21/2025,2,4
154,Combo,Natural,Natural 3,6/12/2024,5,4,7/22/2024,5,6,8/21/2025,4,5
155,Combo,Natural,Natural 3,6/12/2024,5,3,7/22/2024,3,3,8/21/2025,1,2
156,Combo,Natural,Natural 3,6/12/2024,5,4,7/22/2024,5,6,8/21/2025,3,4
157,Hester,Natural,Natural 3,6/12/2024,5,5,7/22/2024,4,5,8/21/2025,1,5
158,Hester,Natural,Natural 3,6/12/2024,5,2,7/22/2024,5,9,8/21/2025,1,2
159,Hester,Natural,Natural 3,6/12/2024,5,7,7/22/2024,5,12,8/21/2025,0,0
160,Hester,Natural,Natural 3,6/12/2024,5,5,7/22/2024,3,3,8/21/2025,0,0
161,Hester,Natural,Natural 3,6/12/2024,5,5,7/22/2024,5,10,8/21/2025,4,19
162,Hester,Natural,Natural 3,6/12/2024,5,3,7/22/2024,5,3,8/21/2025,2,4
163,Potting Soil,Natural,Natural 4,6/12/2024,5,3,7/22/2024,3,4,8/21/2025,0,0
164,Potting Soil,Natural,Natural 4,6/12/2024,5,3,7/22/2024,3,3,8/21/2025,2,1
165,Potting Soil,Natural,Natural 4,6/12/2024,5,3,7/22/2024,5,3,8/21/2025,3,2
166,Potting Soil,Natural,Natural 4,6/12/2024,4,2,7/22/2024,0,0,8/21/2025,0,0
167,Potting Soil,Natural,Natural 4,6/12/2024,4,3,7/22/2024,2,2,8/21/2025,0,0
168,Potting Soil,Natural,Natural 4,6/12/2024,5,3,7/22/2024,5,4,8/21/2025,0,0
169,Combo,Natural,Natural 4,6/12/2024,5,3,7/22/2024,5,7,8/21/2025,5,9
170,Combo,Natural,Natural 4,6/12/2024,5,3,7/22/2024,5,6,8/21/2025,1,2
171,Combo,Natural,Natural 4,6/12/2024,5,5,7/22/2024,5,8,8/21/2025,5,11
172,Combo,Natural,Natural 4,6/12/2024,5,5,7/22/2024,5,8,8/21/2025,3,8
173,Combo,Natural,Natural 4,6/12/2024,2,4,7/22/2024,2,4,8/21/2025,1,2
174,Combo,Natural,Natural 4,6/12/2024,5,6,7/22/2024,5,9,8/21/2025,5,10
175,Hester,Natural,Natural 4,6/12/2024,5,3,7/22/2024,5,5,8/21/2025,5,14
176,Hester,Natural,Natural 4,6/12/2024,5,4,7/22/2024,4,10,8/21/2025,3,16
177,Hester,Natural,Natural 4,6/12/2024,3,5,7/22/2024,1,6,8/21/2025,1,2
178,Hester,Natural,Natural 4,6/12/2024,5,3,7/22/2024,1,12,8/21/2025,2,3
179,Hester,Natural,Natural 4,6/12/2024,5,2,7/22/2024,4,8,8/21/2025,4,12
180,Hester,Natural,Natural 4,6/12/2024,5,4,7/22/2024,5,18,8/21/2025,5,25
